"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Eminem","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","12","8","155793","108775542","135291046","64158037665","25315","73113659","325443959","6","0","66600000","42962920","35875421873","205215","306482219","155","1126","10052714","9379","0","-23186","44856265","34443","-23751","93278250","10920","18892835","0","2266228","119108","74905","111","26348","169","3662","39278","174","20","737","7.556181312574235","163.21409338784042"
"2","Drake","Canada","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","14","14","275093","109220953","371875769","133155764752","296095","88253391","531213658","20","0","32000000","34054033","34323981637","152158","239557754","61","N/A","N/A","N/A","N/A","-43761","141677956","206513","-18841","50331513","6399","23914526","14777","4508903","2576388","100107","74","29592","128","2723","830","250","62","8159","45.83176276905183","8730.544644685724"
"3","50 Cent","United States","Hip Hop","Universal Music Group, Big Indie Labels, Warner Music Group","41","83","62225","20587208","73811231","21101171159","-70965","45869950","209532011","44","0","18300000","22780438","14350066036","102805","87227682","11","38896","8902186","309653","0","10082","38977967","298723","-12544","42995215","3872","7781916","1097","2129559","477594","31555","457","10425","104","1725","29531","197","9","1008","3.0990333110446295","141.26212140428518"
"4","Post Malone","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment","45","19","36987","48522376","92405953","55253290880","-927629","60170124","441201052","42","0","28700000","22464364","17740129507","85881","141694596","273","-2509","17567382","77602","0","1304","26965297","228758","-8080","13556192","2507","4146149","4013","2320118","585313","29292","69","33668","125","3954","3177","99","35","3421","15.144875742565976","2912.275809221997"
"5","Kendrick Lamar","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, BMG, Big Indie Labels","49","15","100518","47300023","136502798","54069475061","-539012","72843810","446925242","99","0","20100000","18010904","13406384439","91029","129794858","809","N/A","N/A","N/A","N/A","-18298","19206561","3965","-6096","13460072","5411","6065819","6013","1876636","711870","51732","206","15350","109","1434","11126","94","27","3827","4.88996639025672","487.6259908727588"
"6","Travis Scott","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels, BMG","56","24","83344","43274489","158650601","64934788349","1998925","62934836","428095564","78","0","20600000","14363982","12773569882","76317","135912084","91","2347","2555020","5905","0","80288","60265583","3648100","-3663","8930532","3115","3072852","37745","6275902","921722","73347","606","7692","88","921","6321","167","59","7941","49.81824835883835","887.6217463465167"
"7","Cardi B","United States","Hip Hop","Warner Music Group, Sony Music Entertainment, Universal Music Group","57","111","36070","26784841","41901780","22052420471","-337759","33256290","286414089","75","0","20300000","20193198","23344160616","89694","186525153","10","30431","32616149","816077","0","-40504","164158236","211822","-8221","32824810","1885","2558836","684","947149","527282","7298","279","14570","109","1344","24580","48","20","4264","5.577005413699046","1383.0077451960906"
"8","Nicki Minaj","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment","63","72","20657","34624313","75242781","42870487324","206758","44182478","375923237","33","0","28100000","20919965","35666739349","83221","261070888","34","-23614","22158526","156689","0","N/A","223695311","N/A","-4305","47611137","2411","7350510","2526","1065108","249638","7313","257","16418","109","2069","1773","197","46","3724","17.044409786465348","7891.126244379788"
"9","Kanye West a.k.a Ye","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","65","39","108146","32838363","297354650","63258644569","3694679","75235656","407640945","103","0","12300000","28858423","10989283651","276760","90743210","1251","8906","2082947","10921","0","210600","19833741","772707","4091","746798","3772","4490792","7222","1920766","1581953","81991","612","8771","101","1428","53338","225","23","790","8.935365458457927","162.92722826508958"
"10","XXXTENTACION","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Universal Music Group","75","45","88465","53479226","64591279","37078943863","361347","34591057","117936859","175","100000","43000000","8867970","9678363529","78740","163266756","N/A","N/A","N/A","N/A","N/A","-4344","20502199","0","3902","5748035","2306","4646570","8774","6319154","1984489","2014","3462","1787","42","203","118447","6","2","90","0.6097714086548952","12.845554286113288"
