"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Taylor Swift","United States","Pop","Big Indie Labels, Universal Music Group","1","1","154333307","122693536478","102250746","725552265","3","63100000","36655268862","327654936","9","33520999","280450748","78815945","12473187","1054974","4","1783","27","3","294","2592.409372878616"
"2","Justin Bieber","Canada","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment","3","10","87979991","68972058334","98322328","646310242","7","77200000","50977673926","401211354","102","29610855","291889410","88931069","10998540","1679415","15","25062","94","22","3303","4025.0316534976564"
"3","Bruno Mars","United States","Pop","Warner Music Group, Universal Music Group, Sony Music Entertainment","4","4","80811983","52817676460","135153284","699306292","40","43300000","33952558435","206350762","44","16045047","42922260","57777322","12515108","807686","24","69647","49","11","1817","5805.719459932726"
"4","The Weeknd","Canada","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","5","2","120400527","91825433582","115270855","596135701","9","39500000","32721648369","250421335","210","11030554","77039198","16955069","14373920","8522949","10","663","150","34","6227","13761.953941063683"
"5","Lady Gaga","United States","Pop","Universal Music Group, Sony Music Entertainment","6","12","45542741","36288968967","94861992","516150799","14","30400000","21607648405","153624867","21","17698075","62408195","55828173","9037391","1366682","2","82961","51","5","189","463.7418219524227"
"6","Ariana Grande","United States","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment","7","9","110627751","65635537469","81871881","496601954","10","57000000","32272744596","325661766","8","40076513","371652308","41154269","13279183","1266810","33","18570","29","9","1078","4048.243838052168"
"7","Billie Eilish","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","8","5","124678749","55850748677","84839239","524708628","28","57900000","19308135112","315789032","13","74424758","125318344","30921886","9081129","3625776","49","1877","43","3","357","2433.3807871165686"
"8","Rihanna","Barbados","Pop","Universal Music Group, Big Indie Labels","9","13","72497635","57620983622","107296687","536244622","11","45700000","36847967306","187155641","19","16351801","148957181","102770168","17787140","2715553","23","49600","104","15","1256","539.1368885814633"
"9","Shakira","Colombia","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels","10","34","42034123","30244695335","78107339","407647005","2","50000000","39367733679","219013203","4","42877067","95974682","122132908","11445661","388489","45","11046","57","6","277","564.7827967214082"
"10","Drake","Canada","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","14","14","108823849","132622404212","87686667","527595576","20","32000000","34275010561","239335271","61","N/A","141721717","50358462","23905411","4487533","78","830","250","62","8159","8730.544644685724"
"11","Ed Sheeran","United Kingdom","Pop","Warner Music Group, Sony Music Entertainment, Universal Music Group, Big Indie Labels","15","6","125578853","64104484085","82722203","601670863","50","59000000","38508509293","280247322","184","18359323","48890908","23373834","20747560","2858580","1","1461","44","17","3017","15780.575507382098"
"12","Sabrina Carpenter","United States","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels, Warner Music Group","16","20","30907708","22930313555","64369002","445050495","65","13100000","5957180268","90757766","25","38101825","50856407","8099753","1698982","244457","13","73258","16","3","38","69.79260320438112"
"13","Katy Perry","United States","Pop","Universal Music Group, Big Indie Labels","17","28","39883179","26480418464","65561159","339043422","21","46800000","29279293301","174055577","30","9092191","200972400","69826502","9659796","403751","25","7642","90","18","1023","1875.0375591677487"
"14","KATSEYE","United States","Pop","Universal Music Group, Warner Music Group","18","173","8918301","3065319872","29360099","141684445","27","8550000","5602855381","199203459","42","16973418","8483389","882976","185052","51728","467","N/A","N/A","N/A","N/A","N/A"
"15","Selena Gomez","United States","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment","21","60","54009858","27823191772","40817997","344499298","37","35700000","25680876501","238004047","6","58911715","415019471","85187870","5499315","369378","89","25065","90","13","750","936.7465758942534"
"16","Coldplay","United Kingdom","Rock","Warner Music Group","22","8","63250805","44536716476","91246515","523032912","52","28400000","22961402867","151490462","253","8008577","29205250","41071272","18204233","524845","14","17874","45","17","2946","4220.872219331149"
"17","Chris Brown","United States","Pop","Universal Music Group, Warner Music Group, Sony Music Entertainment, Big Indie Labels","23","44","30523585","44233945790","59104620","382486858","30","29700000","32552097459","198279771","40","11542325","143620252","49311402","9008619","6529419","90","15787","597","48","2437","2904.1247089314807"
"18","Michael Jackson","United States","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels","24","39","40226898","20774460698","62681323","231378396","32","35300000","16896514282","134957178","N/A","1882698","12051169","68913383","12575158","10675","3","5581","147","19","1848","2988.7795742849135"
"19","Maroon 5","United States","Pop","Universal Music Group","27","17","47250954","34152022558","74299505","311585276","19","38000000","26194837722","141621789","446","3172265","9178361","36476193","11330385","1766226","16","94764","38","3","123","330.5708363040307"
"20","Beyonce","United States","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels","28","50","42393150","34676534631","54254386","411800816","39","28800000","21314604277","128589784","24","6784886","307685746","55961419","12712095","2094680","87","5106","182","15","413","1448.3148599258175"
"21","Adele","United Kingdom","Pop","Sony Music Entertainment","29","18","69506008","27701020275","57440167","250552333","74","33200000","17659059337","104603683","172","N/A","57408416","68019572","15357444","1050688","47","82750","88","4","732","871.947372784621"
"22","Lana Del Rey","United States","Pop","Universal Music Group, Big Indie Labels, Warner Music Group","32","23","55987599","40442269177","63718839","315179418","86","18400000","8535462011","86124664","234","6904667","23549127","14985935","5678954","8543440","445","1460","94","20","2184","8218.017780214843"
"23","Harry Styles","United Kingdom","Pop","Sony Music Entertainment","37","46","35170108","27782994509","71198999","520057450","177","15400000","6595200378","90455231","80","7599733","46797879","17432523","2137091","439749","57","N/A","N/A","N/A","N/A","N/A"
"24","Miley Cyrus","United States","Pop","Sony Music Entertainment, Universal Music Group","39","49","27417253","23126744360","55721375","418594893","128","20000000","14036559400","108997674","23","18924527","211110741","47683309","7174566","1447777","21","77394","18","7","648","805.0268124635347"
"25","Dua Lipa","United Kingdom","Pop","Warner Music Group, Big Indie Labels, Universal Music Group, Sony Music Entertainment","40","22","47805310","40793068669","64746950","530282000","124","24700000","19405613011","154876833","29","11233864","88636654","17080085","8665633","578958","5","482","196","51","7670","36240.022390141006"
"26","Post Malone","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment","44","19","48468783","55115048418","61578745","446000414","42","28700000","17707983179","141571345","273","17571735","26970235","13567585","4142514","2314394","68","3177","99","35","3421","2912.275809221997"
"27","Zara Larsson","Sweden","Pop","Sony Music Entertainment, Universal Music Group, Warner Music Group","45","71","12168732","13031260712","68426131","470605672","233","7340000","6164225735","49688310","12","9079358","11067102","2906558","1589407","98053","174","5596","67","21","1333","1996.4784195128207"
"28","Doja Cat","United States","Pop","Sony Music Entertainment, Warner Music Group, Universal Music Group","46","32","36603272","30048882520","56918439","373573579","119","14000000","11737373509","135495456","179","27502807","24671288","4693102","2437856","2004956","82","23123","65","27","1639","578.1325176572858"
"29","Olivia Dean","United Kingdom","Pop","Universal Music Group, Big Indie Labels","48","84","3750550","5881357749","61967750","335776139","416","892000","365346316","3660218","55","1770842","5452502","199761","110700","31577","114","N/A","N/A","N/A","N/A","N/A"
"30","Calvin Harris","United Kingdom","Electronic","Sony Music Entertainment, Universal Music Group","50","24","23405276","32699630483","73193556","503815413","62","19600000","18030486725","90329293","373","1822956","11592069","14186196","12244134","7504321","19","137","459","143","19522","78923.54633683356"
"31","Pitbull","United States","Pop","Universal Music Group, Big Indie Labels, Sony Music Entertainment, Warner Music Group","51","54","12578108","24720042984","68787052","300285109","48","17600000","24472095006","114488776","93","5569393","12410469","51533457","7200816","461489","124","9634","517","37","4391","7691.535261797563"
"32","David Guetta","France","Electronic","Warner Music Group, Big Indie Labels, Sony Music Entertainment, Universal Music Group","52","29","27731360","39521157709","82172420","621567679","132","27700000","23712771040","137906539","187","6578831","12114357","47305504","19910971","2586183","12","12","1075","367","47839","166170.14235821017"
"33","Cardi B","United States","Hip Hop","Warner Music Group, Sony Music Entertainment, Universal Music Group","55","114","26732641","21988041514","33814946","291985741","75","20300000","23314938488","186390297","10","32515040","164198740","32838069","2556147","946215","282","24580","48","20","4264","1383.0077451960906"
"34","Olivia Rodrigo","United States","Pop","Universal Music Group","56","25","52191350","25858736895","46355522","219042516","257","15700000","6165409229","102654937","171","24697298","39159953","3527601","1711524","563300","118","N/A","N/A","N/A","N/A","N/A"
"35","Shawn Mendes","Canada","Pop","Universal Music Group, Sony Music Entertainment","58","37","46466617","28624284535","43743367","286457507","68","30600000","15452168195","157157800","205","8961769","70251485","15747706","6726273","435236","75","149859","2","2","207","272.47328361609897"
"36","Sia","Australia","Pop","Warner Music Group, Sony Music Entertainment, Big Indie Labels, Universal Music Group, BMG","59","31","31237321","30901432325","64323929","463386404","51","24800000","24769469660","160334379","761","6007520","8469730","11161193","8641897","438314","77","959","261","49","5099","12575.217405370426"
"37","Jennifer Lopez","United States","Pop","Sony Music Entertainment, BMG, Universal Music Group, Big Indie Labels, Warner Music Group","60","226","14072583","9414075978","33548429","219465755","84","17500000","15160774962","73294371","22","17869715","245984333","60245869","6345351","108509","123","342","65","13","1668","15890.131940356052"
"38","One Direction","United Kingdom","Pop","N/A","61","48","40951333","27924746952","43429460","202926474","97","39800000","14902468056","152779236","N/A","N/A","23513326","35614034","6532181","3051875","273","N/A","N/A","N/A","N/A","N/A"
"39","Britney Spears","United States","Pop","Sony Music Entertainment, Warner Music Group","62","89","18860894","15433027673","46677392","356158172","137","11700000","10983833605","63720965","53","9113251","42352068","40434553","5382187","1288538","88","1593","131","14","733","5129.052660118164"
"40","Nicki Minaj","United States","Hip Hop","Universal Music Group, Warner Music Group, Sony Music Entertainment","63","68","34594210","42762237287","43746553","375081061","33","28100000","35636277416","260946379","34","22184210","223695311","47618340","7347067","1061503","257","1773","197","46","3724","7891.126244379788"
"41","Ellie Goulding","United Kingdom","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","67","82","13596037","14960314379","47403583","287888071","145","13100000","10646756706","66698127","641","1867108","13643721","13577394","6211440","6729519","142","259","134","39","3897","21503.249245681476"
"42","Demi Lovato","United States","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","71","136","27480166","16694525681","34318203","207598620","147","18200000","13582425272","114053177","20","8230668","152128441","32470967","7027396","169079","338","51830","80","7","244","524.7401288380231"
"43","Black Eyed Peas","United States","Pop","Universal Music Group, Sony Music Entertainment, Warner Music Group","73","80","10219110","14757691021","58046543","235615601","61","13800000","12969778006","74198033","941","1761525","1544383","37884587","6059229","104556","61","84935","76","7","90","55.977801897723324"
"44","DJ Snake","France","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","75","77","9576716","15365399872","49144634","288211776","67","25000000","16676842608","128923901","1221","3837190","10414810","6580171","5768938","1034352","396","691","337","117","12348","21340.08531472406"
"45","Justin Timberlake","United States","Pop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels","80","95","16568211","17454579883","49076585","296617288","174","11200000","11166332168","55081725","125","3797454","71377800","40126916","6675380","7816605","84","11797","74","6","541","1595.1092950658315"
"46","Enrique Iglesias","Spain","Pop","Sony Music Entertainment, Universal Music Group","82","197","12344979","12414843303","34592763","128764151","29","25900000","24016140595","97124159","369","1891118","18849256","48915974","5936731","146005","51","111104","11","4","35","59.75082990873718"
"47","Akon","United States","R&B","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment, BMG","86","166","6522415","16282949078","39954834","218070581","44","16300000","15148485768","96094732","345","3504336","11288167","52348203","4758251","293540","407","4067","290","23","1080","2586.3901326947275"
"48","Mariah Carey","United States","Pop","Sony Music Entertainment, Universal Music Group, Big Indie Labels","96","119","12681726","13159705677","33055806","245905361","43","12900000","11824017527","73901607","141","13500160","14985057","24284275","3403766","678038","55","23581","83","5","116","484.6530720396844"
"49","Charlie Puth","United States","Pop","Warner Music Group, Big Indie Labels, Universal Music Group, Sony Music Entertainment","97","70","26112402","17582042300","47646155","259334886","180","23100000","18569045278","143370724","115","22734752","19919056","8456402","2278105","442290","161","16068","19","6","865","1698.6972017892456"
"50","The Chainsmokers","United States","Electronic","Sony Music Entertainment, Big Indie Labels, Warner Music Group","98","53","21731005","23424887859","49029399","348508097","63","23000000","16528571052","105121841","433","3542835","7177953","10805665","5818992","1307281","83","1164","259","91","8710","11298.430223468626"
"51","Jason Derulo","United States","Pop","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","99","159","12581786","17411606919","30746901","203293250","105","41900000","30721171193","399584386","26","65713442","43581273","24865324","5580218","1157873","69","7270","47","7","519","682.7137988482227"
"52","Tate McRae","Canada","Pop","Sony Music Entertainment, Warner Music Group, Universal Music Group","104","74","10550884","17993277434","46556093","315337099","382","6620000","3176080161","56120987","81","13679604","9293981","323585","566037","176712","489","2654","23","8","330","2693.2064372385494"
"53","Sam Smith","United Kingdom","Pop","Universal Music Group, Sony Music Entertainment, Warner Music Group","106","47","26969699","28383187874","50876625","364338384","129","17000000","14213708225","90165787","604","9117423","14489672","9131035","5540006","1582224","116","672","123","34","3274","22122.20841169362"
"54","Camila Cabello","United States","Pop","Sony Music Entertainment, Universal Music Group","110","64","36222274","21072919139","43133093","295593488","125","12500000","13539771015","139354210","192","17981312","63367207","17297417","3864899","200088","193","1544","19","4","571","3365.127992655277"
"55","P!nk","United States","Pop","Sony Music Entertainment","114","138","18598585","15747987039","36341000","248189141","239","13000000","9911074194","54682829","313","4077616","11895450","31290857","4606011","6347555","41","64245","29","0","0","64.58425375439643"
"56","Usher","United States","R&B","Universal Music Group, Sony Music Entertainment, Big Indie Labels","115","111","14539969","16022053993","45923534","283566009","115","8950000","10939257460","60522981","341","6901536","14030947","51268129","7173299","601747","233","47913","288","17","774","584.3890287974447"
"57","Sean Paul","Jamaica","Reggae","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group, BMG","123","107","5574833","17155217952","61259425","366536289","120","5270000","19214459806","107133022","1278","3235502","2629597","13873890","3728226","108586","198","1153","142","24","2599","7517.218797984329"
"58","Raye","United Kingdom","Pop","Other Indie / Unsigned","125","135","3732977","9055116987","55708372","456432626","453","1700000","1847863167","20782900","73","3471932","4613373","435385","441927","83759","210","N/A","N/A","N/A","N/A","N/A"
"59","Halsey","United States","Pop","Universal Music Group, Sony Music Entertainment, BMG, Big Indie Labels","128","55","22868894","24982306395","51398571","286211269","122","12400000","15147007556","151039249","164","5927124","30152686","7994866","2053835","327860","460","11045","53","21","1617","2713.917160524128"
"60","ABBA","Sweden","Pop","Universal Music Group","134","126","15812703","12157790425","38870128","158738331","213","6120000","5805533140","33633459","822","3921168","2142558","7053605","3122001","57039","27","N/A","N/A","N/A","N/A","N/A"
"61","ZAYN","United Kingdom","Pop","Warner Music Group","137","145","24547838","12309849528","28821757","198797078","256","16400000","7732416003","80875037","101","2386883","52786398","20022631","2688172","171345","816","23845","51","7","118","143.10668841338347"
"62","OneRepublic","United States","Pop","Universal Music Group, Warner Music Group, BMG, Sony Music Entertainment","138","66","19281920","20818692591","45446056","388293732","114","11200000","10332124377","61641748","1728","1189951","3127456","11771540","4298277","137515","59","1308","58","15","857","3839.65678554762"
"63","Céline Dion","Canada","Pop","Sony Music Entertainment, Universal Music Group","139","411","10866435","7870977821","18598745","162536000","185","9990000","6599074405","35569957","124","5220936","10943069","28771522","3479540","205261","140","4901","13","4","114","534.8183775176883"
"64","GIMS","France","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","140","480","8930245","7916800822","18136541","39317013","110","14700000","9966692004","54463388","648","6540699","4695541","11833555","6540021","77299","442","38602","212","2","56","354.92123753826826"
"65","Elton John","United Kingdom","Pop","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","143","63","16243155","18790166613","47635605","448244804","217","5200000","4767183035","29578585","212","3383360","5842586","8083606","2932150","60639","11","485","203","6","2554","21705.37389698313"
"66","Tyla","South Africa","Pop","Sony Music Entertainment, Big Indie Labels, Universal Music Group, Warner Music Group","145","198","4632193","4108579912","33854160","269817373","285","5750000","1977662303","40943953","110","13200000","13625069","852728","165532","62235","266","1790","21","1","320","2566.2525917268563"
"67","Alicia Keys","United States","R&B","Sony Music Entertainment, Universal Music Group, Big Indie Labels","153","155","13363842","11568533826","36858814","274986451","289","7160000","5303818595","36096285","207","8006418","27756142","41881034","5558403","1958499","201","1369","239","15","1613","3525.8686213259134"
"68","Whitney Houston","United States","Pop","Sony Music Entertainment","166","190","12150088","8488558983","29196222","283045357","112","9950000","8065268569","43016370","N/A","1305402","2282610","13222987","3868956","56812","29","3904","197","7","637","1866.59495743259"
"69","Teddy Swims","United States","Pop","Warner Music Group, Sony Music Entertainment, Big Indie Labels, Universal Music Group","167","132","6411438","8312835544","41555619","217891411","433","6480000","2937570774","27904689","1064","9210224","9009564","5482723","384119","97132","46","2550","31","7","260","1758.5942010555543"
"70","Ne-Yo","United States","R&B","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group","169","110","10844338","14073873623","45938463","244657256","164","5550000","9786534555","46770222","717","1887263","4932124","18180153","3866090","365884","414","22077","203","18","704","789.4833035814063"
"71","Avril Lavigne","Canada","Punk","Warner Music Group, Sony Music Entertainment, BMG, Big Indie Labels","173","293","12399743","8346362774","26224774","142916327","165","13500000","7835346293","59753931","347","6536036","14161885","49017397","5678445","229009","241","138412","3","0","0","2.2691887737231546"
"72","Madonna","United States","Pop","Warner Music Group, Big Indie Labels, Universal Music Group, Sony Music Entertainment","182","154","9169191","10848108527","44433019","258278612","420","8060000","7273264230","44414495","394","5040037","20312178","18111050","4822204","1541089","7","902","149","14","1036","8472.372055905435"
"73","Charli XCX","United Kingdom","Pop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","185","207","6889949","13769950835","33306876","339302881","1013","4040000","3905689929","39275500","114","5491003","9120737","6679769","1849419","462490","315","843","176","32","3778","16423.647504448916"
"74","Benson Boone","United States","Pop","Warner Music Group","190","105","7915779","9264217493","41924563","215738388","671","5680000","2359476278","41284851","1109","9234250","6736409","377170","456321","73318","17","N/A","N/A","N/A","N/A","N/A"
"75","Jungkook (정국)","South Korea","Pop","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","209","160","19925629","13530698361","16897957","93190811","950","4120000","2625693657","37044354","729","27997625","8883433","1364387","439212","14","2306","64246","N/A","N/A","N/A","N/A"
"76","Khalid","United States","Pop","Sony Music Entertainment, Warner Music Group, Universal Music Group","212","56","17198347","34254823707","51753124","413576212","199","9900000","12780144483","103910812","1212","3775804","6701365","5537978","1747133","496319","561","7271","134","35","1911","1455.8682558234327"
"77","Meghan Trainor","United States","Pop","Sony Music Entertainment, Warner Music Group, Universal Music Group","214","222","15788892","11611715689","21908915","178247852","171","15300000","10856111068","94603526","191","18642124","18095839","4949177","1642630","60602","205","10808","74","8","197","629.1388494253762"
"78","Backstreet Boys","United States","Pop","Sony Music Entertainment, BMG","217","274","7044414","8039759230","26849449","134479528","229","8200000","6494857783","36370083","354","3861259","6207960","13289984","1127343","93259","91","83633","14","2","23","54.34495915897336"
"79","Flo Rida","United States","Hip Hop","Big Indie Labels, Warner Music Group, Universal Music Group","226","133","9255068","15471095506","42170656","234370759","490","5950000","7897831388","43676523","1962","679411","1009482","15335338","4712392","66470","175","4524","221","13","892","2325.1150231911247"
"80","Kehlani","United States","R&B","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","230","320","9234638","10192657971","27457947","219138395","691","4570000","3911102724","39576805","136","7961426","17186937","4994507","686984","839023","516","3048","32","5","181","1076.920439847207"
"81","Madison Beer","United States","Pop","Sony Music Entertainment, Warner Music Group","237","454","9349312","5837284754","19395727","132142769","530","4040000","2359507267","31964451","218","21014869","40202695","4642372","726559","140840","1227","47177","45","6","490","1488.7426718276479"
"82","Kesha","United States","Pop","Sony Music Entertainment, Big Indie Labels, Warner Music Group","250","130","9596432","11445609086","43587965","246443899","550","4740000","5197816437","35932039","845","4553944","3751440","25016996","4151128","6074927","812","38433","49","5","405","741.9763030362665"
"83","Martin Garrix","Netherlands","Electronic","Big Indie Labels, Universal Music Group, Sony Music Entertainment","252","276","15181294","12828288437","21563015","204706939","369","15200000","10403330169","85459180","447","2516673","15498802","15597096","7563019","2217298","146","369","331","188","28947","38578.62795609422"
"84","Lewis Capaldi","United Kingdom","Pop","Universal Music Group, Big Indie Labels","255","128","14431183","13694601910","26177100","225882165","329","8090000","5114755533","51224462","902","8735923","7817097","2746785","1170663","202190","102","59426","N/A","N/A","N/A","N/A"
"85","Davido","Nigeria","African","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","260","778","10495959","3660803494","9179110","43164327","379","4950000","3122414481","18952183","92","9579646","31512692","11318603","887988","125520","753","37367","51","2","106","144.29031011697654"
"86","Little Mix","United Kingdom","Pop","Sony Music Entertainment, Warner Music Group","264","397","12353329","10900006222","16600255","96975142","169","16500000","8647197222","83870570","938","3227263","16529880","8930905","3732041","5927293","476","7259","30","7","283","1770.215240839988"
"87","Christina Aguilera","United States","Pop","Sony Music Entertainment, Universal Music Group","268","214","9567011","10921377089","31344900","287839365","260","6240000","9299990591","50985888","297","5062871","10446032","25191974","3884068","101131","207","103236","45","2","35","60.32187384245386"
"88","BLOK3","Turkey","Pop","Sony Music Entertainment","274","735","6994933","3174695395","7747534","10427945","375","1440000","1759718308","5735033","852","494729","2569094","N/A","50190","N/A","4033","N/A","N/A","N/A","N/A","N/A"
"89","James Arthur","United Kingdom","Pop","Sony Music Entertainment, Universal Music Group, BMG, Big Indie Labels","276","106","21376929","15740533111","30237291","222732296","386","7810000","6562470118","52817488","1666","3383152","2911127","2761796","1513030","110658","480","2674","51","8","499","2733.2557182055425"
"90","SIENNA SPIRO","United Kingdom","Pop","Universal Music Group","277","625","892624","764779071","28522348","171314696","3040","230000","73562120","1030231","338","3206438","1015699","N/A","26767","10550","1339","N/A","N/A","N/A","N/A","N/A"
"91","EXO","South Korea","Pop","Big Indie Labels","280","1354","10372221","5113918563","5675351","21032233","652","9870000","5788119689","159396982","32","6656529","10943424","11796782","429934","N/A","2792","N/A","N/A","N/A","N/A","N/A"
"92","Lil Nas X","United States","Hip Hop","Sony Music Entertainment, Universal Music Group","285","200","12352394","12822652475","18550257","155708828","203","19500000","8130873488","118003147","1055","27888091","9949939","3544307","1710913","440712","362","86964","8","2","262","130.61218731907547"
"93","Noah Kahan","United States","Pop","Universal Music Group, Warner Music Group","289","237","4934199","11490913140","30339528","221822543","2368","928000","579247794","5720509","250","3343423","3653284","216566","166121","65554","825","108403","7","0","0","19.221406468771644"
"94","John Legend","United States","R&B","Universal Music Group, Sony Music Entertainment, Big Indie Labels, BMG, Warner Music Group","294","303","8385786","11793044885","21989128","252247822","249","8120000","7913918409","50745353","651","3067932","15782864","16896994","3539173","4903787","305","17663","263","11","518","1813.6623899613385"
"95","Selena Gomez & The Scene","United States","Pop","Universal Music Group","303","689","10577887","2719136959","13848520","65839063","191","35700000","14257974674","145193922","980","N/A","N/A","85187859","863402","N/A","4991","N/A","N/A","N/A","N/A","N/A"
"96","Anne-Marie","United Kingdom","Pop","Warner Music Group, Universal Music Group, BMG, Big Indie Labels, Sony Music Entertainment","308","146","13213196","12597870089","31289612","209469502","410","11800000","11404586088","94915898","1427","7953129","8600195","7465328","1856662","160054","295","1406","87","20","1227","6473.876421605907"
"97","Jessie J","United Kingdom","Pop","Big Indie Labels","315","403","12386907","5770492525","18870597","114773365","157","10900000","10640178200","58668312","488","2378678","14259553","17387781","5077693","135031","686","110055","31","13","1424","3902.6837990562467"
"98","Bryan Adams","Canada","Rock","Big Indie Labels, BMG, Warner Music Group, Universal Music Group, Sony Music Entertainment","325","291","5170885","7087699537","26776026","172227953","352","7200000","5164370373","24762943","3736","475474","1669917","6251711","1723275","66642","28","8156","57","7","215","806.2247526928055"
"99","Bebe Rexha","United States","Pop","Warner Music Group, Big Indie Labels, Sony Music Entertainment, BMG","330","137","10118396","17340643984","37523186","409544420","438","9600000","11233918313","89347323","553","8542759","12007865","5114867","1811053","202623","143","720","95","29","2806","14477.704941586284"
"100","Elvis Presley","United States","Pop","Sony Music Entertainment, Universal Music Group","335","305","11434125","20276475557","21808657","139378191","463","4460000","3125218533","24968596","N/A","420342","1972564","4089254","3232712","95974","34","56151","489","0","0","144.4305589754301"
"101","Bee Gees","Australia","Pop","Universal Music Group, Big Indie Labels","340","263","9798899","7948726459","28020095","120084621","448","4840000","4894597269","27471958","N/A","731919","847628","5208871","2559687","3499","32","9475","13","1","177","873.2939341411324"
"102","Nelly Furtado","Canada","Pop","Universal Music Group, Sony Music Entertainment, Big Indie Labels","341","206","5136469","7214341753","34775664","222008418","358","2730000","4078753632","21188122","2656","2063781","2050788","4371800","1435006","N/A","225","290","39","11","1818","21033.679567967796"
"103","Pharrell Williams","United States","R&B","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels, BMG","343","172","5582943","14892367109","36012768","331580897","265","4960000","10719674554","64215162","598","1690617","15587300","12539111","3210389","68013","1264","8207","82","23","4741","5525.599094666573"
"104","Nick Jonas","United States","Pop","Universal Music Group, Warner Music Group","347","1163","9986008","3498148284","7838025","40181667","1730","4060000","1627373453","16187233","50","6627494","35758286","13642444","1259254","50270","2896","119765","13","3","152","352.1063745092023"
"105","Stromae","Belgium","Pop","Universal Music Group, Big Indie Labels, Warner Music Group, Sony Music Entertainment","376","581","4028289","5535400985","16705323","71232766","383","8060000","4300085961","34217575","2336","1394319","2255547","6597970","3430409","106873","621","115129","24","1","2","35.55174003393055"
"106","Ciara","United States","R&B","Sony Music Entertainment, Big Indie Labels, Universal Music Group","378","806","7577495","4104640032","12083605","104757555","393","6320000","5013056968","36287993","189","5956438","35727581","15960439","2319959","5371111","1417","2553","150","6","221","1621.2105652734308"
"107","Joji","United States","R&B","Warner Music Group, Universal Music Group","379","254","11122398","14019548612","26986249","135699612","676","4180000","3121560561","46374950","697","1760935","7228811","2428362","550628","319619","4418","48064","35","1","8","46.91907739816067"
"108","The Kid LAROI","Australia","Pop","Sony Music Entertainment, Universal Music Group, Warner Music Group, Big Indie Labels","380","153","6873828","14881920047","33127368","222431644","520","6070000","3382297727","45740181","1371","5101137","4386585","736749","435645","531159","608","63596","31","4","46","98.25175697555754"
"109","Nelly","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment, Warner Music Group","383","355","4106705","7368595205","23982644","143069725","350","6290000","5640216754","29641466","1746","467635","4135292","10452366","1586578","1716198","426","30262","263","5","254","1591.6712134355614"
"110","Fizistyle","Czech Republic","Pop","Other Indie / Unsigned","387","139367","29295","6707422","29986","22168","35","9100000","2430567129","59357133","34575","527370","151674","21543","167","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"111","T-Pain","United States","R&B","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group, BMG","396","394","6227647","11697702375","25165951","183453189","193","3840000","9243507025","55723059","1290","5203814","5520840","13397504","1926474","125727","1823","18427","392","15","175","379.0184811256156"
"112","Markiplier","United States","Pop","N/A","401","37628","226957","171327016","135978","619989","109","38500000","23375698061","632371225","644","7782647","12685143","3481953","6576","1005","N/A","121398","4","0","0","5.474973032297155"
